Query,URL,Startup,LinkedIn
,,Kotoba Technologies,https://www.linkedin.com/in/kojimano/en
"site:linkedin.com/in/ Haltia.ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Haltia.ai,https://ae.linkedin.com/in/omar-farooqui-97405a15
"site:linkedin.com/in/ Sapien, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Sapien,https://www.linkedin.com/in/tonymarks
"site:linkedin.com/in/ PrimeUp, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,PrimeUp,https://de.linkedin.com/in/crsanket
"site:linkedin.com/in/ Fram Energy, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Fram Energy,https://www.linkedin.com/in/charlotte-meerstadt
"site:linkedin.com/in/ Perjury.ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Perjury.ai,https://www.linkedin.com/in/ralphlin
"site:linkedin.com/in/ Gokei, Chile, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Gokei,https://cl.linkedin.com/in/andres-valdivia-serrano-4254bbb
"site:linkedin.com/in/ BrokerBotics, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,BrokerBotics,https://www.linkedin.com/in/ahan-dalal
"site:linkedin.com/in/ Workmagic, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Workmagic,https://www.linkedin.com/in/franklidongyang
"site:linkedin.com/in/ Collapse Survivor, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Collapse Survivor,https://www.linkedin.com/in/survivor-architect
"site:linkedin.com/in/ Puppeteer, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Puppeteer,https://uk.linkedin.com/in/daniel-dore-5b04501b7
"site:linkedin.com/in/ AutoSquared.ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,AutoSquared.ai,https://www.linkedin.com/in/bahador-r-01a32aa3
"site:linkedin.com/in/ VRenity, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,VRenity,https://www.linkedin.com/in/noliemacdonald
"site:linkedin.com/in/ Silcofix, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Silcofix,https://in.linkedin.com/in/rajesh-jajodia-6a2770298
"site:linkedin.com/in/ Annyai, India, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Annyai,
"site:linkedin.com/in/ Crop Diagnostix, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Crop Diagnostix,https://www.linkedin.com/in/brandonchi
"site:linkedin.com/in/ Last Minute, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Last Minute,https://www.linkedin.com/in/javier-rodriguez-jr-45104228
"site:linkedin.com/in/ Soulside, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Soulside,https://www.linkedin.com/in/surabhibhandari
"site:linkedin.com/in/ Nevemind, Norway, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Nevemind,https://www.linkedin.com/in/elizabeth-tishchenko
"site:linkedin.com/in/ Legback, Singapore, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Legback,https://sg.linkedin.com/in/duy-anh-nguyen-b02a922b5?trk=people-guest_people_search-card
"site:linkedin.com/in/ E11tec, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,E11tec,https://www.linkedin.com/in/jamil-atcha-a25b1a4
"site:linkedin.com/in/ Cyvi, Sweden, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Cyvi,https://se.linkedin.com/in/joakimallwin
"site:linkedin.com/in/ Katalis Ai, Singapore, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Katalis Ai,https://sg.linkedin.com/in/vinukamal
"site:linkedin.com/in/ Krispy, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Krispy,https://mx.linkedin.com/in/%C4%91onna-santin-a0144b9b
"site:linkedin.com/in/ Merx, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Merx,https://uk.linkedin.com/in/pietrocammerini
"site:linkedin.com/in/ Planning Hub, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Planning Hub,https://uk.linkedin.com/in/ewamoskwiak
"site:linkedin.com/in/ ActiveBench, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,ActiveBench,https://www.linkedin.com/in/alvarezrick
"site:linkedin.com/in/ Learna, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Learna,https://uk.linkedin.com/in/courtenayprobert
"site:linkedin.com/in/ Muchbetter, France, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Muchbetter,https://fr.linkedin.com/in/julienheissat
"site:linkedin.com/in/ Root Signals, Finland, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Root Signals,https://fi.linkedin.com/in/ogencoglu
"site:linkedin.com/in/ Themison, Denmark, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Themison,https://dk.linkedin.com/in/juanmiguellopez
"site:linkedin.com/in/ Pantheon Vision, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Pantheon Vision,https://www.linkedin.com/in/jwsheetsjr
"site:linkedin.com/in/ Scholarly, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Scholarly,https://www.linkedin.com/in/kentranderson
"site:linkedin.com/in/ Boolsi, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Boolsi,https://www.linkedin.com/in/mihailoisakov
"site:linkedin.com/in/ Tapp, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Tapp,https://www.linkedin.com/in/tappjohnking
"site:linkedin.com/in/ Hackerpulse, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hackerpulse,https://www.linkedin.com/in/glebbraverman
"site:linkedin.com/in/ Tally It, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Tally It,https://www.linkedin.com/in/mrbrown
"site:linkedin.com/in/ Metagave Tequila, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Metagave Tequila,https://sg.linkedin.com/in/poojamayee
"site:linkedin.com/in/ Nūmi, France, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Nūmi,https://fr.linkedin.com/in/eden-banon-lagrange-3069779b
"site:linkedin.com/in/ Vyrtual, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Vyrtual,https://www.linkedin.com/in/bruce-rogers-56528
"site:linkedin.com/in/ Hydrox Ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hydrox Ai,https://www.linkedin.com/in/zhuo-li-4830a145
"site:linkedin.com/in/ Powerbroker Ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Powerbroker Ai,https://www.linkedin.com/in/patrick-cooney1
"site:linkedin.com/in/ Flabs, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Flabs,https://in.linkedin.com/in/harsh-jha-045a04196
"site:linkedin.com/in/ Hatchfast, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hatchfast,https://www.linkedin.com/in/sachinbaiskar
"site:linkedin.com/in/ Bakkali, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Bakkali,https://uk.linkedin.com/in/ishanwijewardana
"site:linkedin.com/in/ Strictly, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Strictly,https://www.linkedin.com/in/chrislamorte
"site:linkedin.com/in/ Venmob, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Venmob,https://www.linkedin.com/in/zakariaderriche/fr
"site:linkedin.com/in/ Moo Fund, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Moo Fund,https://uk.linkedin.com/in/richardmoross
"site:linkedin.com/in/ Cartd, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Cartd,https://uk.linkedin.com/in/th%C3%A9ocesarini/en
"site:linkedin.com/in/ Merlin Cloud, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Merlin Cloud,https://uk.linkedin.com/in/adam-drake-57a1b8125
"site:linkedin.com/in/ Welli, Colombia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Welli,https://co.linkedin.com/in/jaramillofelipe
"site:linkedin.com/in/ Camperoni, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Camperoni,https://www.linkedin.com/in/tzikis
"site:linkedin.com/in/ Userology, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Userology,https://in.linkedin.com/in/thisisharsh7
"site:linkedin.com/in/ Oso, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Oso,https://www.linkedin.com/in/grahamneray
"site:linkedin.com/in/ UpSide, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,UpSide,https://www.linkedin.com/in/alex-kinnier-419139
"site:linkedin.com/in/ Intellico, Jordan, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Intellico,https://jo.linkedin.com/in/amjedalsadeq
"site:linkedin.com/in/ Bariendo, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Bariendo,https://www.linkedin.com/in/petchjirapinyo
"site:linkedin.com/in/ Dexif, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Dexif,https://in.linkedin.com/in/deepank-bhandari-161b64a
"site:linkedin.com/in/ Topshelf, Germany, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Topshelf,https://de.linkedin.com/in/sushrutchafadker
"site:linkedin.com/in/ Aida, Mexico, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Aida,https://mx.linkedin.com/in/borja-gavica-b92699168
"site:linkedin.com/in/ Sakana Dream, Japan, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Sakana Dream,https://www.linkedin.com/in/joshuawongsk
"site:linkedin.com/in/ Carepedia, Indonesia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Carepedia,https://id.linkedin.com/in/zulfi-sebastian-43042a11b
"site:linkedin.com/in/ Hymdal, Sweden, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hymdal,https://dk.linkedin.com/in/adam-r-rossi
"site:linkedin.com/in/ Hazana, Indonesia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Hazana,https://id.linkedin.com/in/firmansyah-is-nursal
"site:linkedin.com/in/ Synna, Singapore, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Synna,https://vn.linkedin.com/in/karsten-eckhardt
"site:linkedin.com/in/ Annuum, Norway, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Annuum,https://no.linkedin.com/in/christophereinarsrud
"site:linkedin.com/in/ Archtec, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Archtec,https://es.linkedin.com/in/patricia-garcia-chimeno
"site:linkedin.com/in/ Plans, Indonesia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Plans,https://id.linkedin.com/in/dini-widiastuti-a5587b33
"site:linkedin.com/in/ Union, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Union,https://www.linkedin.com/in/seannui
"site:linkedin.com/in/ Holi Health, Poland, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Holi Health,https://www.linkedin.com/in/ilyarublevsky
"site:linkedin.com/in/ Amariso Eyewear, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Amariso Eyewear,https://www.linkedin.com/in/seankuesia23
